                Time                  x1                  y1                  x2                  y2
               25.47        -0.410444611       -0.9118855308        -1.406161523       -0.8194310499
               25.48       -0.4062199891       -0.9137753118        -1.393598573       -0.7553974998
               25.49       -0.4040096756       -0.9147547114        -1.379035616       -0.6926637052
                25.5       -0.4036868991       -0.9148972005        -1.362638403       -0.6313270798
               25.51       -0.4051354887       -0.9142566575         -1.34454896       -0.5714705289
               25.52       -0.4082475552        -0.912871258        -1.324891317          -0.5131661
               25.53       -0.4129215191       -0.9107666106        -1.303775804       -0.4564774483
               25.54       -0.4190604716       -0.9079583257        -1.281302298       -0.4014615022
               25.55       -0.4265708389       -0.9044541555        -1.257562701       -0.3481695837
               25.56       -0.4353613188       -0.9002558093        -1.232642822       -0.2966481517
               25.57       -0.4453420592       -0.8953605142        -1.206623816       -0.2469392881
               25.58       -0.4564240512       -0.8897623759        -1.179583265       -0.1990810085
               25.59       -0.4685187145       -0.8834535722        -1.151595982       -0.1531074581
                25.6       -0.4815376529        -0.876425404        -1.122734593       -0.1090490404
               25.61       -0.4953925614       -0.8686692179        -1.093069942      -0.06693250993
               25.62       -0.5099952653       -0.8601772081        -1.062671353      -0.02678105834
               25.63       -0.5252578728       -0.8509431045        -1.031606788       0.01138558947
               25.64       -0.5410930229       -0.8409627463        -0.999942921       0.04755105275
               25.65       -0.5574142086       -0.8302345452       -0.9677451568       0.08170213733
               25.66        -0.574136157       -0.8187598385        -0.935077613        0.1138286374
               25.67       -0.5911752471       -0.8065431342       -0.9020030901        0.1439230946
               25.68       -0.6084499461       -0.7935922524       -0.8685830434        0.1719805163
               25.69       -0.6258812484       -0.7799183694       -0.8348775736        0.1979980566
                25.7       -0.6433930986       -0.7655359695       -0.8009454482         0.221974667
               25.71       -0.6609127855       -0.7504627173       -0.7668441659         0.243910725
               25.72       -0.6783712941       -0.7347192575       -0.7326300715          0.26380765
               25.73       -0.6957036057       -0.7183289587       -0.6983585278        0.2816675169
               25.74       -0.7128489378       -0.7013176113        -0.664084148        0.2974926787
               25.75       -0.7297509186       -0.6837130954        -0.629861092        0.3112854084
               25.76        -0.746357694       -0.6655450342       -0.5957434246        0.3230475724
               25.77       -0.7626219658       -0.6468444459       -0.5617855368        0.3327803439
               25.78       -0.7785009631       -0.6276434103       -0.5280426257        0.3404839683
               25.79       -0.7939563502       -0.6079747642       -0.4945712296        0.3461575901
                25.8       -0.8089540772       -0.5878718406       -0.4614298131        0.3497991496
               25.81       -0.8234641779       -0.5673682646        -0.428679396        0.3514053615
               25.82       -0.8374605258       -0.5464978204       -0.3963842165        0.3509717832
               25.83       -0.8509205549       -0.5252944025       -0.3646124201        0.3484929848
               25.84       -0.8638249564       -0.5037920649       -0.3334367603        0.3439628298
               25.85       -0.8761573635       -0.4820251802       -0.3029352943        0.3373748805
               25.86       -0.8879040351       -0.4600287214       -0.2731920536        0.3287229378
               25.87       -0.8990535535        -0.437838678       -0.2442976596         0.318001728
               25.88       -0.9095965513       -0.4154926158       -0.2163498522        0.3052077478
               25.89       -0.9195254834       -0.3930303873       -0.1894538841        0.2903402734
                25.9       -0.9288344629        -0.370494994       -0.1637227279        0.2734025391
               25.91       -0.9375191803       -0.3479335951       -0.1392770289         0.254403078
               25.92       -0.9455769247       -0.3253986469       -0.1162447269        0.2333572082
               25.93        -0.953006725       -0.3029491413      -0.09476026157        0.2102886283
               25.94       -0.9598096247       -0.2806518918      -0.07496327149        0.1852310669
               25.95       -0.9659890977       -0.2585827975      -0.05699670174        0.1582298992
               25.96       -0.9715515978       -0.2368279815      -0.04100425258        0.1293436153
               25.97       -0.9765072205       -0.2154846824      -0.02712713557       0.09864499525
               25.98       -0.9808704311       -0.1946617513      -0.01550015821       0.06622181709
               25.99       -0.9846607892       -0.1744795981     -0.006247234304       0.03217691774
                  26       -0.9879035725       -0.1550694406     0.0005234902359     -0.003372566481
               26.01       -0.9906301829       -0.1365717422        0.0047246063      -0.04029690821
               26.02       -0.9928782103       -0.1191337886      0.006294126289      -0.07845649921
               26.03       -0.9946910394       -0.1029064435       0.00519944847       -0.1177055061
               26.04       -0.9961169194      -0.08804023448      0.001440162585       -0.1578962878
               26.05       -0.9972074732      -0.07468102401     -0.004950674336        -0.198884265
               26.06       -0.9980156973      -0.06296560982       -0.0139070249       -0.2405328393
               26.07       -0.9985935762      -0.05301763414      -0.02533216268       -0.2827179191
               26.08       -0.9989895004      -0.04494416548      -0.03910259896       -0.3253316409
               26.09       -0.9992457053      -0.03883323836      -0.05507328753        -0.368284973
                26.1       -0.9993959488      -0.03475251764      -0.07308362126       -0.4115090329
               26.11       -0.9994636038      -0.03274911661      -0.09296368709       -0.4549551101
               26.12       -0.9994602776      -0.03285047092       -0.1145402801        -0.498593531
               26.13       -0.9993849961      -0.03506607465       -0.1376422769       -0.5424116038
               26.14       -0.9992239194       -0.0393898319       -0.1621051026       -0.5864109344
               26.15       -0.9989505025       -0.0458027674       -0.1877741656       -0.6306044008
               26.16       -0.9985259789      -0.05427586359       -0.2145072568        -0.675013041
               26.17       -0.9979000348      -0.06477283732       -0.2421760005       -0.7196630449
               26.18       -0.9970115429      -0.07725272392       -0.2706664979       -0.7645829761
               26.19       -0.9957892396      -0.09167218927       -0.2998793299       -0.8098012846
                26.2       -0.9941522479       -0.1079875365        -0.329729084       -0.8553441177
               26.21       -0.9920103631       -0.1261564092       -0.3601435525       -0.9012333949
               26.22       -0.9892640342       -0.1461392169       -0.3910627243       -0.9474850803
               26.23       -0.9858039768       -0.1679003253        -0.422437664       -0.9941075618
